state,class_code,description,base_rate
CA,0005,NURSERIES – PROPAGATION AND CULTIVATION,5.140
CA,0016,ORCHARDS – CITRUS OR DECIDUOUS FRUITS,6.635
CA,0034,"POULTRY RAISING; SHEEP, HOG OR CALF FARMS",6.440
CA,0035,FLORISTS – CULTIVATING OR GARDENING,4.513
CA,0036,DAIRY FARMS,7.346
CA,0038,STOCK FARMS; LIVESTOCK FEED YARDS,9.569
CA,0040,VINEYARDS,3.800
CA,0041,POTATO CROPS,4.469
CA,0042,LANDSCAPE GARDENING,5.777
CA,0045,ORCHARDS – NUT CROPS,5.141
CA,0050,FARM MACHINERY OPERATION,5.901
CA,0079,STRAWBERRY CROPS,2.549
CA,0096,"NUT HULLING, SHELLING OR PROCESSING",5.458
CA,0106,"TREE PRUNING, REPAIRING OR TRIMMING",12.836
CA,0171,FIELD CROPS,5.482
CA,0172,TRUCK FARMS,3.994
CA,0251,"IRRIGATION, DRAINAGE OR RECLAMATION WORKS",3.496
CA,0401,COTTON GIN OPERATION,8.482
CA,1122,MINING – SURFACE,3.026
CA,1320,OIL/GAS LEASE OPERATORS,1.500
CA,1322,OIL/GAS WELL SERVICING,4.471
CA,1330,BLASTING,3.134
CA,1438,"SMELTING, SINTERING, REFINING OR ALLOYING",5.054
CA,1452,MINING – ORE MILLING,2.073
CA,1463,ASPHALT WORKS; BRIQUETTE MFG; COKE MFG,3.553
CA,1624,QUARRIES; EXCAVATION – ROCK,3.731
CA,1699,"ROCK, MINERAL OR GLASS WOOL MFG",1.953
CA,1701,CEMENT MFG,4.420
CA,1710,STONE CRUSHING,4.381
CA,1741,SILICA GRINDING; PLASTER MILLS,4.530
CA,1803,STONE CUTTING OR FABRICATION,8.722
CA,1925,DIE CASTING MFG,12.583
CA,2002,MACARONI MFG,9.122
CA,2003,BAKERIES AND CRACKER MFG,6.306
CA,2004,BAKED GOODS MFG. - WHOLESALE,7.776
CA,2014,GRAIN OR RICE MILLING; FEED MFG,5.942
CA,2063,DAIRY PRODUCTS OR ICE MFG,5.175
CA,2081,BUTCHERING; STOCKYARDS,9.672
CA,2095,MEAT PRODUCTS MFG,7.908
CA,2102,FRUIT/VEGETABLE EVAPORATION/DEHYDRATING,
CA,2107,FRUIT – FRESH FRUIT PACKING AND HANDLING,4.731
CA,2108,FRUIT – CITRUS FRUIT PACKING AND HANDLING,5.636
CA,2109,FRUIT – DRIED FRUIT PACKING AND HANDLING,7.508
CA,2111,FRUIT/VEGETABLE PRESERVING/PICKLING; OLIVE HANDLING,6.537
CA,2113,FISH OR SEAFOOD PRODUCTS MFG,11.854
CA,2116,JUICE OR JUICE CONCENTRATE MFG,5.663
CA,2117,FRUIT/VEGETABLE PROCESSING – FROZEN,7.629
CA,2121,BREWERIES,2.949
CA,2123,FRUIT/VEGETABLE PROCESSING – FRESH – READY-TO-EAT,6.834
CA,2142,WINERIES; DISTILLING; VINEGAR MFG,2.850
CA,2163,BOTTLING – BEVERAGES,7.640
CA,2222,"SPINNING, WEAVING, OR FIBER PROCESSING",8.000
CA,2362,KNITTING,11.169
CA,2402,CARPET OR RUG MFG,10.764
CA,2413,TEXTILES,5.585
CA,2501,CLOTHING MFG; HAT MFG; TAILORING; LAMPSHADE MFG; FLOWER MFG,6.324
CA,2570,MATTRESS OR BOX SPRINGS MFG,10.378
CA,2571,"PILLOW, QUILT, COMFORTER OR CUSHION MFG",12.306
CA,2576,"AWNING, TARP OR CANVAS GOODS MFG",8.915
CA,2584,"CARPET, RUG OR UPHOLSTERY CLEANING",5.893
CA,2585,LAUNDRIES; DYEING,7.532
CA,2589,DRY CLEANING OR LAUNDRY,5.082
CA,2660,BOOT OR SHOE MFG OR REPAIRING,8.747
CA,2683,LUGGAGE MFG,5.204
CA,2688,LEATHER GOODS MFG,7.585
CA,2702,LOGGING; LAND CLEARING; WOOD CHOPPING/TIE MAKING,19.986
CA,2710,SAWMILLS OR SHINGLE MILLS; LOG CHIPPING; WOOD TREATING/PRESERVING,7.205
CA,2727,LOG HAULING,17.689
CA,2731,PLANING OR MOULDING MILLS,6.920
CA,2757,"PALLET MFG, REPAIR OR RECONDITIONING; PALLET DEALERS",8.801
CA,2759,WOODEN BOX OR CONTAINER MFG,6.318
CA,2790,PATTERN OR MODEL MFG,1.890
CA,2797,MOBILE HOME MFG; AUTOMOBILE BODY MFG; RECREATION VEHICLE MFG,11.192
CA,2806,"DOOR, SASH OR WINDOW MFG – WOOD; SHUTTER MFG – WOOD/PLASTIC",5.804
CA,2812,CABINET MFG – WOOD,6.004
CA,2819,TRUSS OR BUILDING COMPONENTS MFG – WOOD,6.165
CA,2840,PICTURE FRAME ASSEMBLY; PICTURE OR ARTWORK FRAMING,3.706
CA,2842,WOOD PRODUCTS MFG,6.266
CA,2852,WINDOW BLIND MFG OR ASSEMBLY,9.655
CA,2881,FURNITURE ASSEMBLING; COFFIN/CASKET MFG OR ASSEMBLING,10.150
CA,2883,FURNITURE MFG – WOOD,11.662
CA,2915,VENEER OR VENEER PRODUCTS MFG,4.750
CA,2923,MUSICAL INSTRUMENT MFG – NOT METAL,4.620
CA,3018,STEEL MAKING OR PROCESSING,2.405
CA,3022,"PIPE, TUBE OR EXTRUSION MFG – NOT IRON OR STEEL",7.502
CA,3030,IRON OR STEEL WORKS – STRUCTURAL,8.744
CA,3039,REINFORCING STEEL FABRICATION,7.734
CA,3040,IRON OR STEEL WORKS – NON–STRUCTURAL – SHOP,6.120
CA,3060,DOOR/WINDOW MFG – METAL OR PLASTIC; DOOR/WINDOW FRAME/SCREEN MFG,7.620
CA,3066,SHEET METAL PRODUCTS MFG; ALUMINUM WARE MFG; COPPERSMITHING,5.062
CA,3070,COMPUTER MEMORY DISK MFG,
CA,3076,FURNITURE MFG – METAL; WHEELCHAIR MFG,5.336
